sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,3639,622,4261
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,14,0,14,0,0.0000,0.0000,0.0000,0,0,0,14,2753,1043,3796
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,18,15,3,2,0.8333,0.8824,0.8571,0,0,0,18,4086,1411,5497
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,2,3,1,0.4000,0.6667,0.5000,0,0,0,5,2818,384,3202
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,3530,637,4167
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,2774,484,3258
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,10,9,1,6,0.9000,0.6000,0.7200,0,0,0,10,3709,742,4451
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,6,2,4,1,0.3333,0.6667,0.4444,0,0,0,6,2759,473,3232
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,16,4,4,0.8000,0.8000,0.8000,0,0,0,20,4279,1414,5693
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,8,3,5,0,0.3750,1.0000,0.5455,0,0,0,8,3093,622,3715
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,2740,260,3000
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,10,2811,728,3539
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,2565,175,2740
