sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,3639,628,4267,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,7,0,7,0,0.0000,0.0000,0.0000,0,0,0,7,2753,555,3308,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,18,14,4,3,0.7778,0.8235,0.8000,0,0,0,18,4086,1290,5376,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,2,3,1,0.4000,0.6667,0.5000,0,0,0,5,2818,401,3219,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,3530,759,4289,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,2774,466,3240,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,11,10,1,5,0.9091,0.6667,0.7692,0,0,0,11,3709,807,4516,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,2759,491,3250,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,16,4,4,0.8000,0.8000,0.8000,0,0,0,20,4279,1390,5669,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,8,3,5,0,0.3750,1.0000,0.5455,0,0,0,8,3093,627,3720,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,0,3,1,0.0000,0.0000,0.0000,0,0,0,3,2740,260,3000,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,2811,404,3215,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,2565,112,2677,True,annotated_stripped
