sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,5983,638,6621
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,4,0,4,0,0.0000,0.0000,0.0000,0,0,0,4,5097,330,5427
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,15,2,2,0.8824,0.8824,0.8824,0,0,0,17,6430,1210,7640
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,5162,322,5484
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,5874,713,6587
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5118,230,5348
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,10,9,1,6,0.9000,0.6000,0.7200,0,0,0,10,6053,716,6769
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,5103,355,5458
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,21,20,1,0,0.9524,1.0000,0.9756,0,0,0,21,6623,1497,8120
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,5437,427,5864
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,0,2,1,0.0000,0.0000,0.0000,0,0,0,2,5084,190,5274
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5155,230,5385
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,4909,45,4954
