sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,3976,3164,7140
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,6,0,6,0,0.0000,0.0000,0.0000,0,0,0,6,3090,2361,5451
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,8,5,3,12,0.6250,0.2941,0.4000,0,0,0,8,4423,3060,7483
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3155,2491,5646
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,3867,2693,6560
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,7,3111,2180,5291
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,0,0,0,15,0.0000,0.0000,0.0000,1,0,0,0,0,0,0
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,7,3096,2429,5525
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,8,6,2,14,0.7500,0.3000,0.4286,0,0,0,8,4616,2736,7352
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,8,3,5,0,0.3750,1.0000,0.5455,0,0,0,8,3430,2805,6235
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,3077,2866,5943
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3148,3172,6320
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,2902,1553,4455
