sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,14,1,13,0,0.0714,1.0000,0.1333,0,0,0,14,3976,3136,7112,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,6,0,6,0,0.0000,0.0000,0.0000,0,0,0,6,3090,3041,6131,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,10,7,3,10,0.7000,0.4118,0.5185,0,0,0,10,4423,3312,7735,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,2,3,1,0.4000,0.6667,0.5000,0,0,0,5,3155,1868,5023,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,12,1,11,0,0.0833,1.0000,0.1538,0,0,0,12,3867,3382,7249,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3111,2489,5600,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,10,7,3,8,0.7000,0.4667,0.5600,0,0,0,10,4046,3921,7967,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,7,3096,2247,5343,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,9,7,2,13,0.7778,0.3500,0.4828,0,0,0,9,4616,3682,8298,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,3430,2463,5893,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,7,1,6,0,0.1429,1.0000,0.2500,0,0,0,7,3077,3057,6134,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,3148,2358,5506,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,2902,1548,4450,True,annotated_stripped
