sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,8,0,8,1,0.0000,0.0000,0.0000,0,0,0,8,6922,593,7515
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,4,0,4,0,0.0000,0.0000,0.0000,0,0,0,4,6144,338,6482
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,18,16,2,1,0.8889,0.9412,0.9143,0,0,0,18,7795,1248,9043
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,7289,326,7615
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,0,8,1,0.0000,0.0000,0.0000,0,0,0,8,6921,587,7508
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,6041,325,6366
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,9,8,1,7,0.8889,0.5333,0.6667,0,0,0,9,6939,650,7589
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6042,265,6307
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,9351,1277,10628
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,7992,415,8407
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,6769,268,7037
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6803,257,7060
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,5848,45,5893
