sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,7,0,7,1,0.0000,0.0000,0.0000,0,0,0,7,6922,530,7452,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,4,0,4,0,0.0000,0.0000,0.0000,0,0,0,4,6144,337,6481,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,18,16,2,1,0.8889,0.9412,0.9143,0,0,0,18,7795,1255,9050,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,7289,326,7615,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,9,0,9,1,0.0000,0.0000,0.0000,0,0,0,9,6921,639,7560,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,6041,314,6355,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,10,9,1,6,0.9000,0.6000,0.7200,0,0,0,10,6939,728,7667,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6042,232,6274,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,9351,1277,10628,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,7992,447,8439,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,6769,196,6965,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,6803,324,7127,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,5848,41,5889,True,annotated_stripped
