sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,7575,574,8149
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,5607,264,5871
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,10,8,2,9,0.8000,0.4706,0.5926,0,0,0,10,7260,741,8001
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,4592,330,4922
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,6865,717,7582
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,6056,335,6391
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,9,8,1,7,0.8889,0.5333,0.6667,0,0,0,9,6229,672,6901
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,5505,342,5847
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,22,20,2,0,0.9091,1.0000,0.9524,0,0,0,22,7561,1415,8976
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,7029,478,7507
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,6022,261,6283
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,6093,323,6416
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,5311,41,5352
