sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,11,1,10,0,0.0909,1.0000,0.1667,0,0,0,11,3941,979,4920
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,7,0,7,0,0.0000,0.0000,0.0000,0,0,0,7,2921,622,3543
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,14,0,14,17,0.0000,0.0000,0.0000,0,0,0,14,4492,1180,5672
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,8,2,6,1,0.2500,0.6667,0.3636,0,0,0,8,3003,700,3703
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,14,1,13,0,0.0714,1.0000,0.1333,0,0,0,14,3810,1257,5067
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,11,0,11,3,0.0000,0.0000,0.0000,0,0,0,11,2954,929,3883
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,4039,1353,5392
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,12,0,12,3,0.0000,0.0000,0.0000,0,0,0,12,2939,1017,3956
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,4740,1731,6471
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,10,3,7,0,0.3000,1.0000,0.4615,0,0,0,11,3328,963,4291
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,2889,230,3119
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,11,3,8,0,0.2727,1.0000,0.4286,0,0,0,11,2993,935,3928
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,2709,131,2840
