sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,5183,858,6041
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,6,0,6,0,0.0000,0.0000,0.0000,0,0,0,7,4163,617,4780
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,14,13,1,4,0.9286,0.7647,0.8387,0,0,0,14,5734,1168,6902
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,4245,770,5015
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,0,10,1,0.0000,0.0000,0.0000,0,0,0,10,5052,926,5978
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,10,0,10,3,0.0000,0.0000,0.0000,0,0,0,10,4196,860,5056
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,12,10,2,5,0.8333,0.6667,0.7407,0,0,0,12,5281,1101,6382
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,10,3,7,0,0.3000,1.0000,0.4615,0,0,0,10,4181,856,5037
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,5982,1641,7623
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,11,0,11,3,0.0000,0.0000,0.0000,0,0,0,12,4570,1055,5625
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,4131,230,4361
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,4235,786,5021
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,3951,134,4085
