sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,5183,942,6125,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,6,0,6,0,0.0000,0.0000,0.0000,0,0,0,7,4163,617,4780,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,14,13,1,4,0.9286,0.7647,0.8387,0,0,0,14,5734,1172,6906,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,4245,770,5015,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,0,10,1,0.0000,0.0000,0.0000,0,0,0,10,5052,927,5979,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,10,0,10,3,0.0000,0.0000,0.0000,0,0,0,10,4196,861,5057,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,12,10,2,5,0.8333,0.6667,0.7407,0,0,0,12,5281,1055,6336,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,11,0,11,3,0.0000,0.0000,0.0000,0,0,0,11,4181,932,5113,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,5982,1624,7606,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,9,0,9,3,0.0000,0.0000,0.0000,0,0,0,10,4570,864,5434,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,4131,230,4361,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,10,4235,843,5078,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,3951,134,4085,True,annotated_stripped
