sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,7,1,6,0,0.1429,1.0000,0.2500,0,0,0,7,4300,1481,5781
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,3280,1058,4338
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,13,0,13,17,0.0000,0.0000,0.0000,0,0,0,13,4851,2174,7025
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,1,4,2,0.2000,0.3333,0.2500,0,0,0,6,3362,1645,5007
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,4169,1789,5958
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,6,3313,1448,4761
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,13,12,1,3,0.9231,0.8000,0.8571,0,0,0,13,4398,2089,6487
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,3298,1722,5020
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,12,11,1,9,0.9167,0.5500,0.6875,0,0,0,12,5099,2456,7555
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,10,3687,1752,5439
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,0,3,1,0.0000,0.0000,0.0000,0,0,0,3,3248,902,4150
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,5,1,4,2,0.2000,0.3333,0.2500,0,0,0,5,3352,1390,4742
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,3068,966,4034
