sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,7,1,6,0,0.1429,1.0000,0.2500,0,0,0,7,4300,1616,5916,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,5,0,5,0,0.0000,0.0000,0.0000,0,0,0,5,3280,1365,4645,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,12,11,1,6,0.9167,0.6471,0.7586,0,0,0,12,4851,2223,7074,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,6,3362,1445,4807,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,4169,1742,5911,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,5,0,5,3,0.0000,0.0000,0.0000,0,0,0,6,3313,1536,4849,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,11,10,1,5,0.9091,0.6667,0.7692,0,0,0,11,4398,2049,6447,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,3298,1320,4618,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,11,10,1,10,0.9091,0.5000,0.6452,0,0,0,11,5099,2169,7268,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,10,3687,1755,5442,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,0,3,1,0.0000,0.0000,0.0000,0,0,0,3,3248,902,4150,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,3352,1136,4488,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,3068,1010,4078,True,annotated_stripped
