sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,4,1,3,0,0.2500,1.0000,0.4000,0,0,0,4,7737,356,8093
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,4,0,4,0,0.0000,0.0000,0.0000,0,0,0,4,6847,392,7239
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,16,1,1,0.9412,0.9412,0.9412,0,1,0,17,8792,1452,10244
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,8230,376,8606
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,6,1,5,0,0.1667,1.0000,0.2857,0,0,0,6,7736,593,8329
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6735,269,7004
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,7781,1319,9100
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6735,269,7004
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,10646,1506,12152
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,9029,347,9376
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,7533,216,7749
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,7598,269,7867
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,6505,52,6557
