sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,8511,284,8795
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,5885,283,6168
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,16,1,1,0.9412,0.9412,0.9412,0,0,0,17,7272,1450,8722
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,5493,376,5869
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,5872,721,6593
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5390,269,5659
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,7338,1308,8646
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,7509,374,7883
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,0,0,0,20,0.0000,0.0000,0.0000,1,1,0,0,7909,1685,9594
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,7898,344,8242
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,7115,266,7381
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5773,269,6042
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,6008,52,6060
