sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,4300,1858,6158
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,11,0,11,0,0.0000,0.0000,0.0000,0,0,0,11,3280,1858,5138
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,19,14,5,3,0.7368,0.8235,0.7778,0,0,0,19,4851,2827,7678
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,9,0,9,3,0.0000,0.0000,0.0000,0,0,1,10,3362,1719,5081
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,13,1,12,0,0.0769,1.0000,0.1429,0,0,0,17,4169,3475,7644
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,14,0,14,3,0.0000,0.0000,0.0000,0,0,1,15,3313,2190,5503
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,12,10,2,5,0.8333,0.6667,0.7407,0,0,0,12,4398,1816,6214
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,8,3,5,0,0.3750,1.0000,0.5455,0,0,2,10,3298,2608,5906
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,9,9,0,11,1.0000,0.4500,0.6207,0,0,0,9,5099,1569,6668
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,11,3,8,0,0.2727,1.0000,0.4286,0,0,0,11,3687,1714,5401
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,4,0,4,1,0.0000,0.0000,0.0000,0,0,0,4,3248,714,3962
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,9,0,9,3,0.0000,0.0000,0.0000,0,0,0,9,3352,1717,5069
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,4,0,4,0,0.0000,0.0000,0.0000,0,0,0,5,3068,1209,4277
