sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,7737,133,7870
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,6847,133,6980
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,10,4,6,13,0.4000,0.2353,0.2963,0,0,0,10,8792,933,9725
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,8230,269,8499
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,7736,133,7869
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6735,271,7006
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,13,13,0,2,1.0000,0.8667,0.9286,0,0,0,13,7781,1029,8810
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6735,269,7004
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,4,4,0,16,1.0000,0.2000,0.3333,0,0,0,4,10646,414,11060
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,2,2,0,1,1.0000,0.6667,0.8000,0,0,0,2,9029,197,9226
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,7533,129,7662
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,7598,269,7867
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,6505,135,6640
