sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,8167,482,8649
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,6090,280,6370
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,8,0,8,17,0.0000,0.0000,0.0000,0,0,0,8,6928,784,7712
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6894,269,7163
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,6246,430,6676
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5444,269,5713
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,13,12,1,3,0.9231,0.8000,0.8571,0,0,0,13,7003,1200,8203
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,2,2,0,1,1.0000,0.6667,0.8000,0,0,0,2,6830,197,7027
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,7,7,0,13,1.0000,0.3500,0.5185,0,0,0,7,8039,688,8727
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6238,269,6507
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,1,0,2,6726,212,6938
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5903,269,6172
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,4825,138,4963
