sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,6,1,5,0,0.1667,1.0000,0.2857,0,0,0,6,3911,595,4506,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,5,0,5,0,0.0000,0.0000,0.0000,0,0,0,5,2881,406,3287,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,15,14,1,3,0.9333,0.8235,0.8750,0,0,0,15,4475,1370,5845,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,1,2,2,0.3333,0.3333,0.3333,0,0,0,3,2972,280,3252,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,6,1,5,0,0.1667,1.0000,0.2857,0,0,0,6,3781,551,4332,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,7,2913,606,3519,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,4041,1336,5377,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,7,2900,637,3537,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,15,15,0,5,1.0000,0.7500,0.8571,0,0,0,15,4723,1319,6042,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,3309,586,3895,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,1,0,1,1,0.0000,0.0000,0.0000,0,0,0,1,2849,118,2967,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,7,2,5,1,0.2857,0.6667,0.4000,0,0,1,8,2955,657,3612,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,2641,44,2685,True,annotated_stripped
