sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,7,1,6,0,0.1429,1.0000,0.2500,0,0,0,7,5114,622,5736
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,7,0,7,0,0.0000,0.0000,0.0000,0,0,0,7,4084,544,4628
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,10,9,1,8,0.9000,0.5294,0.6667,0,0,0,12,5678,981,6659
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,8,3,5,0,0.3750,1.0000,0.5455,0,0,0,8,4175,686,4861
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,4984,678,5662
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,4116,759,4875
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,13,13,0,2,1.0000,0.8667,0.9286,0,0,0,13,5244,1074,6318
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,8,3,5,0,0.3750,1.0000,0.5455,0,0,0,8,4103,662,4765
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,5926,1483,7409
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,5,0,5,3,0.0000,0.0000,0.0000,0,0,0,5,4512,513,5025
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,4052,120,4172
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,8,3,5,0,0.3750,1.0000,0.5455,0,0,0,8,4158,675,4833
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,3844,128,3972
