sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,4249,1364,5613
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,14,0,14,0,0.0000,0.0000,0.0000,0,0,0,14,3219,2511,5730
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,10,6,4,11,0.6000,0.3529,0.4444,0,0,0,10,4813,2313,7126
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,4,0,4,3,0.0000,0.0000,0.0000,0,0,0,4,3310,1294,4604
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,6,1,5,0,0.1667,1.0000,0.2857,0,0,0,6,4119,1520,5639
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,11,1,10,2,0.0909,0.3333,0.1429,0,0,0,11,3251,2224,5475
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,6,6,0,9,1.0000,0.4000,0.5714,0,0,0,6,4379,1501,5880
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3238,1356,4594
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,5061,3129,8190
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,3647,1701,5348
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,3187,756,3943
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,12,0,12,3,0.0000,0.0000,0.0000,0,0,0,12,3293,2885,6178
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,2979,868,3847
