sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,0,0,0,1,0.0000,0.0000,0.0000,1,1,0,0,6369,260,6629
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,5704,47,5751
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,12,12,0,5,1.0000,0.7059,0.8276,0,0,0,12,6538,841,7379
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6670,238,6908
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,5844,388,6232
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,5907,45,5952
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,14,14,0,1,1.0000,0.9333,0.9655,0,0,0,14,6104,966,7070
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,5852,47,5899
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,5,5,0,15,1.0000,0.2500,0.4000,0,0,0,5,8614,380,8994
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,7007,46,7053
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,0,0,0,1,0.0000,0.0000,0.0000,0,0,0,0,7573,45,7618
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,5907,45,5952
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,5099,44,5143
