sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,3911,674,4585
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,10,0,10,0,0.0000,0.0000,0.0000,0,0,0,10,2881,736,3617
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,15,2,2,0.8824,0.8824,0.8824,0,0,0,17,4475,1266,5741
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,2972,960,3932
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,3781,593,4374
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,2913,972,3885
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,4041,1206,5247
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,2900,973,3873
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,12,11,1,9,0.9167,0.5500,0.6875,0,0,0,12,4723,926,5649
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,16,3,13,0,0.1875,1.0000,0.3158,0,0,0,19,3309,1403,4712
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,2849,256,3105
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,11,3,8,0,0.2727,1.0000,0.4286,0,0,0,11,2955,827,3782
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,2641,186,2827
