sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,3911,630,4541,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,12,0,12,0,0.0000,0.0000,0.0000,0,0,0,12,2881,865,3746,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,15,2,2,0.8824,0.8824,0.8824,0,0,0,17,4475,1309,5784,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,2972,961,3933,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,3781,737,4518,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,2913,996,3909,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,4041,1102,5143,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,2900,971,3871,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,14,12,2,8,0.8571,0.6000,0.7059,0,0,0,14,4723,1078,5801,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,16,3,13,0,0.1875,1.0000,0.3158,0,0,0,19,3309,1399,4708,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,2849,258,3107,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,12,3,9,0,0.2500,1.0000,0.4000,0,0,0,12,2955,866,3821,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,2641,122,2763,True,annotated_stripped
