sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,6662,617,7279,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,5632,47,5679,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,16,1,1,0.9412,0.9412,0.9412,0,0,0,17,7226,1178,8404,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5723,240,5963,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,6532,584,7116,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5664,238,5902,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,6792,1039,7831,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5651,240,5891,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,12,12,0,8,1.0000,0.6000,0.7500,0,0,0,12,7474,854,8328,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6060,239,6299,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,5600,188,5788,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5706,238,5944,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,5392,44,5436,True,annotated_stripped
