sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,5114,743,5857
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,12,0,12,0,0.0000,0.0000,0.0000,0,0,0,12,4084,875,4959
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,13,10,3,7,0.7692,0.5882,0.6667,0,0,0,13,5678,996,6674
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,12,2,10,1,0.1667,0.6667,0.2667,0,0,0,12,4175,883,5058
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,4984,744,5728
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,4116,953,5069
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,12,10,2,5,0.8333,0.6667,0.7407,0,0,0,12,5244,914,6158
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,4103,964,5067
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,17,3,3,0.8500,0.8500,0.8500,0,0,0,20,5926,1485,7411
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,17,3,14,0,0.1765,1.0000,0.3000,0,0,0,20,4512,1442,5954
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,4052,405,4457
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,4158,494,4652
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,3844,189,4033
