sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,5114,740,5854,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,12,0,12,0,0.0000,0.0000,0.0000,0,0,0,12,4084,877,4961,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,13,10,3,7,0.7692,0.5882,0.6667,0,0,0,13,5678,996,6674,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,10,2,8,1,0.2000,0.6667,0.3077,0,0,0,10,4175,746,4921,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,4984,734,5718,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,4116,945,5061,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,12,10,2,5,0.8333,0.6667,0.7407,0,0,0,12,5244,911,6155,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,4103,703,4806,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,19,15,4,5,0.7895,0.7500,0.7692,0,0,0,19,5926,1397,7323,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,17,3,14,0,0.1765,1.0000,0.3000,0,0,0,20,4512,1442,5954,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,4052,272,4324,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,12,3,9,0,0.2500,1.0000,0.4000,0,0,0,12,4158,877,5035,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,3844,188,4032,True,annotated_stripped
