sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,4249,1429,5678
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,13,0,13,0,0.0000,0.0000,0.0000,0,0,0,14,3219,1513,4732
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,13,9,4,8,0.6923,0.5294,0.6000,0,0,0,13,4813,2039,6852
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,7,3310,1291,4601
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,4119,1441,5560
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,17,3,14,0,0.1765,1.0000,0.3000,0,0,0,17,3251,1680,4931
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,4379,2064,6443
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,7,3238,1463,4701
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,21,20,1,0,0.9524,1.0000,0.9756,0,0,0,21,5061,3561,8622
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,15,3,12,0,0.2000,1.0000,0.3333,0,0,0,18,3647,2496,6143
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,3187,1057,4244
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3293,1371,4664
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,2979,1028,4007
