sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,13,1,12,0,0.0769,1.0000,0.1429,0,0,0,13,4249,3148,7397,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,12,0,12,0,0.0000,0.0000,0.0000,0,0,0,13,3219,1710,4929,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,11,7,4,10,0.6364,0.4118,0.5000,0,0,0,11,4813,2312,7125,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3310,1214,4524,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,4119,1990,6109,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,24,3,21,0,0.1250,1.0000,0.2222,0,0,0,24,3251,3416,6667,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,14,1,1,0.9333,0.9333,0.9333,0,0,0,15,4379,2606,6985,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,3238,1282,4520,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,17,17,0,3,1.0000,0.8500,0.9189,0,0,0,17,5061,2939,8000,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,17,3,14,0,0.1765,1.0000,0.3000,0,0,0,20,3647,2044,5691,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,3187,876,4063,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,11,3,8,0,0.2727,1.0000,0.4286,0,0,0,11,3293,1551,4844,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,2979,876,3855,True,annotated_stripped
