sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,7743,118,7861,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,6842,270,7112,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,11,9,2,8,0.8182,0.5294,0.6429,0,0,0,11,8831,840,9671,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,8225,240,8465,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,7742,589,8331,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6731,238,6969,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,7817,1039,8856,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6732,240,6972,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,10680,1362,12042,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,9042,239,9281,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,7556,114,7670,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,7620,238,7858,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,6473,44,6517,True,annotated_stripped
