sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,6425,588,7013
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,6716,287,7003
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,11,9,2,8,0.8182,0.5294,0.6429,0,0,0,11,6594,803,7397
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5444,240,5684
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,6239,674,6913
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,7637,255,7892
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,6993,1039,8032
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6598,293,6891
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,9,8,1,12,0.8889,0.4000,0.5517,0,0,0,9,6786,695,7481
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,7158,239,7397
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,7093,189,7282
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5018,238,5256
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,5099,44,5143
