sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,12,1,11,0,0.0833,1.0000,0.1538,0,0,0,12,3922,898,4820
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,20,0,20,0,0.0000,0.0000,0.0000,0,0,0,20,2892,1532,4424
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,14,9,5,8,0.6429,0.5294,0.5806,0,0,0,14,4486,1058,5544
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,22,3,19,0,0.1364,1.0000,0.2400,0,0,0,22,2983,1629,4612
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,12,1,11,0,0.0833,1.0000,0.1538,0,0,1,13,3792,1011,4803
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,20,2,18,1,0.1000,0.6667,0.1739,0,0,0,20,2924,1481,4405
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,11,8,3,7,0.7273,0.5333,0.6154,0,0,0,11,4052,872,4924
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,18,2,16,1,0.1111,0.6667,0.1905,0,0,0,18,2911,1358,4269
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,18,16,2,4,0.8889,0.8000,0.8421,0,0,0,18,4734,1425,6159
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,12,2,10,1,0.1667,0.6667,0.2667,0,0,1,13,3320,1348,4668
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,2860,437,3297
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,15,2,13,1,0.1333,0.6667,0.2222,0,0,0,15,2966,1146,4112
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,2652,121,2773
