sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,10,1,9,0,0.1000,1.0000,0.1818,0,0,0,10,5125,753,5878
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,14,0,14,0,0.0000,0.0000,0.0000,0,0,0,14,4095,999,5094
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,19,15,4,2,0.7895,0.8824,0.8333,0,0,0,19,5689,1344,7033
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,18,3,15,0,0.1667,1.0000,0.2857,0,0,0,19,4186,1320,5506
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,12,1,11,0,0.0833,1.0000,0.1538,0,0,0,12,4995,951,5946
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,13,2,11,1,0.1538,0.6667,0.2500,0,0,0,13,4127,941,5068
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,21,15,6,0,0.7143,1.0000,0.8333,0,0,0,21,5255,1594,6849
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,11,0,11,3,0.0000,0.0000,0.0000,0,0,0,11,4114,817,4931
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,17,16,1,4,0.9412,0.8000,0.8649,0,0,0,17,5937,1393,7330
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,19,3,16,0,0.1579,1.0000,0.2727,0,1,0,19,4523,1348,5871
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,4063,196,4259
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,10,2,8,1,0.2000,0.6667,0.3077,0,0,0,10,4169,759,4928
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,4,0,4,0,0.0000,0.0000,0.0000,0,0,0,4,3855,341,4196
