sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,13,1,12,0,0.0769,1.0000,0.1429,0,0,0,13,8166,1061,9227
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,16,0,16,0,0.0000,0.0000,0.0000,0,0,0,16,6783,1129,7912
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,19,17,2,0,0.8947,1.0000,0.9444,0,0,0,19,7833,1292,9125
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5921,236,6157
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,11,1,10,0,0.0909,1.0000,0.1667,0,0,1,12,6264,925,7189
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5029,234,5263
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,12,8,4,7,0.6667,0.5333,0.5926,0,0,0,12,6510,915,7425
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5776,236,6012
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,19,1,1,0.9500,0.9500,0.9500,0,0,0,20,8569,1356,9925
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6272,235,6507
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,6078,110,6188
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,7210,234,7444
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,5475,121,5596
