sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,0,0,0,1,0.0000,0.0000,0.0000,1,1,0,0,5121,8000,13121
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,9,0,9,0,0.0000,0.0000,0.0000,0,0,0,9,4091,4433,8524
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,15,0,15,17,0.0000,0.0000,0.0000,0,0,0,15,5685,3449,9134
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,12,2,10,1,0.1667,0.6667,0.2667,0,0,0,12,4182,4142,8324
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,4991,4774,9765
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,4123,7210,11333
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,5251,2562,7813
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,8,3,5,0,0.3750,1.0000,0.5455,0,0,0,8,4110,2479,6589
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,0,0,0,20,0.0000,0.0000,0.0000,1,1,0,0,5933,4762,10695
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,12,0,12,3,0.0000,0.0000,0.0000,0,0,0,12,4519,5814,10333
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,0,0,0,1,0.0000,0.0000,0.0000,1,1,0,0,4059,2183,6242
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,8,2,6,1,0.2500,0.6667,0.3636,0,0,0,9,4165,5153,9318
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,3851,2571,6422
