sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,4256,3374,7630,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,10,0,10,0,0.0000,0.0000,0.0000,0,0,0,10,3226,2518,5744,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,11,0,11,17,0.0000,0.0000,0.0000,0,0,0,11,4820,3629,8449,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,12,2,10,1,0.1667,0.6667,0.2667,0,0,0,12,3317,3619,6936,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,4126,2707,6833,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,14,3,11,0,0.2143,1.0000,0.3529,0,0,0,15,3258,4041,7299,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,4386,2985,7371,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,11,3,8,0,0.2727,1.0000,0.4286,0,0,0,11,3245,2721,5966,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,9,9,0,11,1.0000,0.4500,0.6207,0,0,0,9,5068,4454,9522,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,8,1,7,2,0.1250,0.3333,0.1818,0,0,0,8,3654,5661,9315,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,3194,4352,7546,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,9,1,8,2,0.1111,0.3333,0.1667,0,0,0,9,3300,4275,7575,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,2986,5606,8592,True,annotated_stripped
