sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,3727,2317,6044
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,4,0,4,0,0.0000,0.0000,0.0000,0,0,0,4,2813,1590,4403
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,13,11,2,6,0.8462,0.6471,0.7333,0,0,0,13,4150,3379,7529
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,2890,1466,4356
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,7,1,6,0,0.1429,1.0000,0.2500,0,0,0,7,3618,2529,6147
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,6,2,4,1,0.3333,0.6667,0.4444,0,0,0,6,2838,2306,5144
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,7,4,3,11,0.5714,0.2667,0.3636,0,0,0,7,3780,2912,6692
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,2827,1485,4312
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,19,18,1,2,0.9474,0.9000,0.9231,0,0,0,19,4367,4400,8767
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,7,3,4,0,0.4286,1.0000,0.6000,0,0,0,10,3188,2104,5292
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,6,1,5,0,0.1667,1.0000,0.2857,0,0,0,6,2786,1793,4579
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,2878,1792,4670
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,2608,816,3424
