sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,4,1,3,0,0.2500,1.0000,0.4000,0,0,0,4,7171,2035,9206,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,5,0,5,0,0.0000,0.0000,0.0000,0,0,0,5,6365,1455,7820,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,17,0,0,1.0000,1.0000,1.0000,0,0,0,17,8052,3177,11229,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,7535,1283,8818,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,4,1,3,0,0.2500,1.0000,0.4000,0,0,0,4,7170,1922,9092,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,6271,1333,7604,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,7173,2050,9223,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,6271,1438,7709,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,21,20,1,0,0.9524,1.0000,0.9756,0,0,0,21,9636,4524,14160,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,8255,1441,9696,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,7002,1253,8255,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,7054,1513,8567,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,6052,649,6701,True,annotated_stripped
