sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,3822,707,4529
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,13,0,13,0,0.0000,0.0000,0.0000,0,0,0,13,2816,941,3757
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,16,1,1,0.9412,0.9412,0.9412,0,0,0,17,4348,1264,5612
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,2898,664,3562
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,3695,617,4312
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,2845,41,2886
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,3916,1113,5029
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,13,3,10,0,0.2308,1.0000,0.3750,0,0,0,13,2832,992,3824
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,4577,1388,5965
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,9,3,6,0,0.3333,1.0000,0.5000,0,0,0,9,3215,687,3902
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,2780,185,2965
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,2885,41,2926
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,2586,40,2626
