sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,5021,705,5726,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,4015,43,4058,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,16,13,3,4,0.8125,0.7647,0.7879,0,0,0,16,5547,1192,6739,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,4097,42,4139,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,9,1,8,0,0.1111,1.0000,0.2000,0,0,0,9,4894,696,5590,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,4044,41,4085,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,0,15,15,0.0000,0.0000,0.0000,0,0,0,15,5115,1154,6269,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,4031,41,4072,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,18,17,1,3,0.9444,0.8500,0.8947,0,0,0,18,5776,1282,7058,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,20,3,17,0,0.1500,1.0000,0.2609,0,0,0,20,4414,1399,5813,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,2,1,1,0,0.5000,1.0000,0.6667,0,0,0,2,3979,200,4179,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,4084,41,4125,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,3785,40,3825,True,annotated_stripped
