sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,11,1,10,0,0.0909,1.0000,0.1667,0,0,0,11,4162,2883,7045,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,12,0,12,0,0.0000,0.0000,0.0000,0,0,0,12,3156,3231,6387,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,17,16,1,1,0.9412,0.9412,0.9412,0,0,0,17,4688,2689,7377,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,12,3,9,0,0.2500,1.0000,0.4000,0,0,0,12,3238,2373,5611,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,11,1,10,0,0.0909,1.0000,0.1667,0,0,0,11,4035,2612,6647,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,3185,1373,4558,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,4256,3205,7461,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,7,0,7,3,0.0000,0.0000,0.0000,0,0,0,7,3172,2333,5505,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,4917,4145,9062,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,8,0,8,3,0.0000,0.0000,0.0000,0,0,0,8,3555,2362,5917,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,5,1,4,0,0.2000,1.0000,0.3333,0,0,0,5,3120,1237,4357,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,12,0,12,3,0.0000,0.0000,0.0000,0,0,0,12,3225,2470,5695,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,2926,751,3677,True,annotated_stripped
