sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens,strip_label_comments,dataset_variant
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,13,1,12,0,0.0769,1.0000,0.1429,0,0,0,13,7919,995,8914,True,annotated_stripped
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,10,0,10,0,0.0000,0.0000,0.0000,0,0,0,10,5200,694,5894,True,annotated_stripped
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,15,0,15,17,0.0000,0.0000,0.0000,0,0,0,15,6349,1057,7406,True,annotated_stripped
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5807,233,6040,True,annotated_stripped
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,6,1,5,0,0.1667,1.0000,0.2857,0,0,0,6,6551,474,7025,True,annotated_stripped
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5575,232,5807,True,annotated_stripped
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,15,15,0,0,1.0000,1.0000,1.0000,0,0,0,15,7630,1023,8653,True,annotated_stripped
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6559,232,6791,True,annotated_stripped
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,20,20,0,0,1.0000,1.0000,1.0000,0,0,0,20,7690,1337,9027,True,annotated_stripped
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6124,232,6356,True,annotated_stripped
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,6507,109,6616,True,annotated_stripped
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,4886,232,5118,True,annotated_stripped
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,4970,40,5010,True,annotated_stripped
