model,prompt,P,R,micro F1,macro F1
DeepSeek v3.2,p1_zero_shot,0.7733,0.7436,0.7582,0.7685
DeepSeek v3.2,p2_few_shot,0.91,0.8205,0.8629,0.8372
DeepSeek v3.2,p3_taxonomy_tree,0.7379,0.7158,0.7267,0.7031
DeepSeek v3.2,p4_self_verify,0.5408,0.453,0.493,0.5168
DeepSeek v3.2,p5_rag_dense,0.8844,0.7521,0.8129,0.793
DeepSeek v3.2,p5_rag_random,0.8444,0.7885,0.8155,0.7748
Gemma 3 27B-IT,p1_zero_shot,0.6982,0.7265,0.712,0.7212
Gemma 3 27B-IT,p2_few_shot,0.9386,0.8162,0.8731,0.8859
Gemma 3 27B-IT,p3_taxonomy_tree,0.706,0.703,0.7045,0.7182
Gemma 3 27B-IT,p4_self_verify,0.6793,0.5748,0.6227,0.6419
Gemma 3 27B-IT,p5_rag_dense,0.9355,0.6816,0.7886,0.7831
Gemma 3 27B-IT,p5_rag_random,0.9292,0.6731,0.7807,0.7841
Mistral Devstral 2 123B,p1_zero_shot,0.7269,0.7051,0.7158,0.7795
Mistral Devstral 2 123B,p2_few_shot,0.9567,0.9444,0.9505,0.9333
Mistral Devstral 2 123B,p3_taxonomy_tree,0.5827,0.6474,0.6134,0.6174
Mistral Devstral 2 123B,p4_self_verify,0.5483,0.594,0.5703,0.6602
Mistral Devstral 2 123B,p5_rag_dense,0.9592,0.9551,0.9572,0.934
Mistral Devstral 2 123B,p5_rag_random,0.9595,0.9615,0.9605,0.924
Qwen3 Coder 30B A3B,p1_zero_shot,0.8361,0.8718,0.8536,0.815
Qwen3 Coder 30B A3B,p2_few_shot,0.8953,0.8953,0.8953,0.8459
Qwen3 Coder 30B A3B,p3_taxonomy_tree,0.7677,0.7415,0.7543,0.6994
Qwen3 Coder 30B A3B,p4_self_verify,0.7541,0.7863,0.7699,0.7563
Qwen3 Coder 30B A3B,p5_rag_dense,0.9674,0.9509,0.9591,0.9212
Qwen3 Coder 30B A3B,p5_rag_random,0.9072,0.9188,0.913,0.8523
GPT-OSS 120B,p1_zero_shot,0.7494,0.6645,0.7044,0.6875
GPT-OSS 120B,p2_few_shot,0.9397,0.6987,0.8015,0.7872
GPT-OSS 120B,p3_taxonomy_tree,0.6902,0.5427,0.6077,0.5588
GPT-OSS 120B,p4_self_verify,0.7513,0.6004,0.6675,0.6834
GPT-OSS 120B,p5_rag_dense,0.9165,0.891,0.9036,0.8816
GPT-OSS 120B,p5_rag_random,0.8943,0.9038,0.899,0.8932
Gemma 3 4B-IT,p1_zero_shot,0.6482,0.5748,0.6093,0.5768
Gemma 3 4B-IT,p2_few_shot,0.6667,0.2821,0.3964,0.4007
Gemma 3 4B-IT,p3_taxonomy_tree,0.567,0.3526,0.4348,0.4302
Gemma 3 4B-IT,p4_self_verify,0.5856,0.4167,0.4869,0.4526
Gemma 3 4B-IT,p5_rag_dense,0.7569,0.2927,0.4222,0.419
Gemma 3 4B-IT,p5_rag_random,0.7265,0.3803,0.4993,0.4517
Mistral Voxtral Mini 3B,p1_zero_shot,0.8878,0.7778,0.8292,0.7221
Mistral Voxtral Mini 3B,p2_few_shot,0.9695,0.5427,0.6959,0.6469
Mistral Voxtral Mini 3B,p3_taxonomy_tree,0.7873,0.6645,0.7207,0.6416
Mistral Voxtral Mini 3B,p4_self_verify,0.5407,0.3974,0.4581,0.4446
Mistral Voxtral Mini 3B,p5_rag_dense,0.9715,0.5107,0.6695,0.5548
Mistral Voxtral Mini 3B,p5_rag_random,0.9639,0.5128,0.6695,0.5582
Nemotron Nano 3-30B,p1_zero_shot,0.6212,0.7009,0.6586,0.6098
Nemotron Nano 3-30B,p2_few_shot,0.89,0.7436,0.8102,0.7972
Nemotron Nano 3-30B,p3_taxonomy_tree,0.6068,0.6859,0.6439,0.6075
Nemotron Nano 3-30B,p4_self_verify,0.7742,0.0513,0.0962,0.0793
Nemotron Nano 3-30B,p5_rag_dense,0.8895,0.6538,0.7537,0.6888
Nemotron Nano 3-30B,p5_rag_random,0.8333,0.6944,0.7576,0.7182
Nemotron Nano 9B v2,p1_zero_shot,0.5885,0.2628,0.3634,0.37
Nemotron Nano 9B v2,p2_few_shot,0.8807,0.6154,0.7245,0.7542
Nemotron Nano 9B v2,p3_taxonomy_tree,0.5734,0.2671,0.3644,0.3638
Nemotron Nano 9B v2,p4_self_verify,0.6526,0.4615,0.5407,0.5419
Nemotron Nano 9B v2,p5_rag_dense,0.8373,0.594,0.695,0.6611
Nemotron Nano 9B v2,p5_rag_random,0.8448,0.6282,0.7206,0.6968
