smell,DeepSeek v3.2,Gemma 3 27B-IT,Mistral Devstral 2 123B,Qwen3 Coder 30B A3B,GPT-OSS 120B,Gemma 3 4B-IT,Mistral Voxtral Mini 3B,Nemotron Nano 3-30B,Nemotron Nano 9B v2,support
Shotgun Surgery,0.963855421686747,0.8974358974358974,0.963855421686747,0.8974358974358974,0.9382716049382717,0.757142857142857,0.9044585987261146,0.89171974522293,0.6969696969696969,86
Divergent Change,0.7333333333333334,0.7045454545454546,1.0,1.0,0.8484848484848484,0.6818181818181819,0.9821428571428572,0.5316455696202531,0.5384615384615384,57
Parallel Inheritance Hierarchies,0.6896551724137931,0.6896551724137931,0.9444444444444444,1.0,0.8823529411764706,0.6779661016949152,0.972972972972973,0.5185185185185185,0.5098039215686275,38
Dead Code,0.9090909090909091,0.896551724137931,0.9846153846153847,1.0,1.0,0.6799999999999999,0.8148148148148148,0.625,0.5217391304347825,32
Primitive Obsession,0.9666666666666667,0.9310344827586207,0.9508196721311476,0.9836065573770492,0.9333333333333333,0.36000000000000004,0.5238095238095238,0.9333333333333333,0.8363636363636363,30
Inappropriate Intimacy,0.8181818181818181,1.0,1.0,1.0,0.9803921568627451,0.875,0.8979591836734695,0.8679245283018868,0.8333333333333333,26
Temporary Field,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.24390243902439024,0.3448275862068965,0.9130434782608696,0.8205128205128205,21
Data Clumps,1.0,1.0,0.9767441860465117,0.9767441860465117,0.9767441860465117,0.4878048780487805,0.3225806451612903,0.8936170212765957,0.8205128205128205,21
Switch Statements,0.8372093023255814,0.6666666666666667,0.9268292682926829,1.0,0.9230769230769231,0.8648648648648649,1.0,0.8571428571428572,0.8205128205128205,19
Speculative Generality,0.7741935483870968,0.972972972972973,1.0,1.0,1.0,0.7272727272727273,0.8484848484848484,0.6666666666666666,0.7333333333333334,19
Middle Man,0.7272727272727274,0.878048780487805,0.9473684210526316,0.9473684210526316,0.972972972972973,0.0,0.878048780487805,0.9473684210526316,0.717948717948718,18
Refused Bequest,0.9142857142857143,0.606060606060606,0.9444444444444444,0.9411764705882353,0.9090909090909091,0.5714285714285715,0.7428571428571428,0.7058823529411765,0.7333333333333334,18
Long Method,0.9142857142857143,0.9473684210526316,1.0,0.9473684210526316,0.9444444444444444,0.6923076923076924,0.782608695652174,0.923076923076923,0.8108108108108109,18
Message Chains,0.7272727272727272,0.918918918918919,0.972972972972973,0.9473684210526316,0.823529411764706,0.761904761904762,0.8571428571428571,0.8421052631578948,0.7878787878787877,18
Long Parameter List,0.742857142857143,0.9142857142857143,0.787878787878788,0.9411764705882353,0.717948717948718,0.8125,0.888888888888889,0.9375,0.787878787878788,16
Duplicate Code,0.9090909090909091,0.9411764705882353,0.9696969696969697,0.9411764705882353,0.9696969696969697,0.75,0.7894736842105263,1.0,0.8387096774193549,16
Control Coupling,1.0,1.0,0.7499999999999999,0.5714285714285715,0.888888888888889,0.0,0.33333333333333337,0.7692307692307693,0.9090909090909091,5
Feature Envy,1.0,1.0,1.0,1.0,0.8333333333333333,0.25,0.7499999999999999,0.7692307692307693,0.7142857142857143,5
Lazy Class,1.0,1.0,0.8,0.5,0.0,0.0,0.0,0.8,1.0,2
Comments,1.0,1.0,1.0,1.0,1.0,0.22222222222222224,1.0,1.0,1.0,2
Data Class,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
