A,B,ΔF1 (B−A),CI 2.5%,CI 97.5%,sig
DeepSeek v3.2 (P2 few-shot),Gemma 3 27B-IT (P2 few-shot),0.01,-0.051,0.075,ns
DeepSeek v3.2 (P2 few-shot),Mistral Devstral 2 123B (P5 RAG random (k=2)),0.098,0.046,0.157,✅
DeepSeek v3.2 (P2 few-shot),Qwen3 Coder 30B A3B (P5 RAG dense (k=3)),0.096,0.045,0.153,✅
DeepSeek v3.2 (P2 few-shot),GPT-OSS 120B (P5 RAG dense (k=3)),0.041,-0.02,0.104,ns
DeepSeek v3.2 (P2 few-shot),Gemma 3 4B-IT (P1 zero-shot),-0.254,-0.361,-0.141,✅
DeepSeek v3.2 (P2 few-shot),Mistral Voxtral Mini 3B (P1 zero-shot),-0.034,-0.096,0.03,ns
DeepSeek v3.2 (P2 few-shot),Nemotron Nano 3-30B (P2 few-shot),-0.053,-0.121,0.023,ns
DeepSeek v3.2 (P2 few-shot),Nemotron Nano 9B v2 (P2 few-shot),-0.138,-0.252,-0.043,✅
Gemma 3 27B-IT (P2 few-shot),Mistral Devstral 2 123B (P5 RAG random (k=2)),0.087,0.032,0.142,✅
Gemma 3 27B-IT (P2 few-shot),Qwen3 Coder 30B A3B (P5 RAG dense (k=3)),0.086,0.043,0.132,✅
Gemma 3 27B-IT (P2 few-shot),GPT-OSS 120B (P5 RAG dense (k=3)),0.03,-0.034,0.092,ns
Gemma 3 27B-IT (P2 few-shot),Gemma 3 4B-IT (P1 zero-shot),-0.264,-0.353,-0.176,✅
Gemma 3 27B-IT (P2 few-shot),Mistral Voxtral Mini 3B (P1 zero-shot),-0.044,-0.1,0.01,ns
Gemma 3 27B-IT (P2 few-shot),Nemotron Nano 3-30B (P2 few-shot),-0.063,-0.139,0.012,ns
Gemma 3 27B-IT (P2 few-shot),Nemotron Nano 9B v2 (P2 few-shot),-0.149,-0.28,-0.048,✅
Mistral Devstral 2 123B (P5 RAG random (k=2)),Qwen3 Coder 30B A3B (P5 RAG dense (k=3)),-0.001,-0.022,0.02,ns
Mistral Devstral 2 123B (P5 RAG random (k=2)),GPT-OSS 120B (P5 RAG dense (k=3)),-0.057,-0.094,-0.025,✅
Mistral Devstral 2 123B (P5 RAG random (k=2)),Gemma 3 4B-IT (P1 zero-shot),-0.351,-0.424,-0.277,✅
Mistral Devstral 2 123B (P5 RAG random (k=2)),Mistral Voxtral Mini 3B (P1 zero-shot),-0.131,-0.183,-0.088,✅
Mistral Devstral 2 123B (P5 RAG random (k=2)),Nemotron Nano 3-30B (P2 few-shot),-0.15,-0.219,-0.088,✅
Mistral Devstral 2 123B (P5 RAG random (k=2)),Nemotron Nano 9B v2 (P2 few-shot),-0.236,-0.359,-0.141,✅
Qwen3 Coder 30B A3B (P5 RAG dense (k=3)),GPT-OSS 120B (P5 RAG dense (k=3)),-0.055,-0.089,-0.029,✅
Qwen3 Coder 30B A3B (P5 RAG dense (k=3)),Gemma 3 4B-IT (P1 zero-shot),-0.35,-0.422,-0.279,✅
Qwen3 Coder 30B A3B (P5 RAG dense (k=3)),Mistral Voxtral Mini 3B (P1 zero-shot),-0.13,-0.182,-0.091,✅
Qwen3 Coder 30B A3B (P5 RAG dense (k=3)),Nemotron Nano 3-30B (P2 few-shot),-0.149,-0.217,-0.093,✅
Qwen3 Coder 30B A3B (P5 RAG dense (k=3)),Nemotron Nano 9B v2 (P2 few-shot),-0.235,-0.353,-0.148,✅
GPT-OSS 120B (P5 RAG dense (k=3)),Gemma 3 4B-IT (P1 zero-shot),-0.294,-0.371,-0.224,✅
GPT-OSS 120B (P5 RAG dense (k=3)),Mistral Voxtral Mini 3B (P1 zero-shot),-0.074,-0.129,-0.033,✅
GPT-OSS 120B (P5 RAG dense (k=3)),Nemotron Nano 3-30B (P2 few-shot),-0.093,-0.168,-0.026,✅
GPT-OSS 120B (P5 RAG dense (k=3)),Nemotron Nano 9B v2 (P2 few-shot),-0.179,-0.315,-0.077,✅
Gemma 3 4B-IT (P1 zero-shot),Mistral Voxtral Mini 3B (P1 zero-shot),0.22,0.136,0.303,✅
Gemma 3 4B-IT (P1 zero-shot),Nemotron Nano 3-30B (P2 few-shot),0.201,0.091,0.301,✅
Gemma 3 4B-IT (P1 zero-shot),Nemotron Nano 9B v2 (P2 few-shot),0.115,-0.023,0.231,ns
Mistral Voxtral Mini 3B (P1 zero-shot),Nemotron Nano 3-30B (P2 few-shot),-0.019,-0.09,0.047,ns
Mistral Voxtral Mini 3B (P1 zero-shot),Nemotron Nano 9B v2 (P2 few-shot),-0.105,-0.224,-0.008,✅
Nemotron Nano 3-30B (P2 few-shot),Nemotron Nano 9B v2 (P2 few-shot),-0.086,-0.211,0.014,ns
