family,comparison,model,ΔF1,p_raw,sig_raw_ci,sig_holm,CI 2.5%,CI 97.5%
within-model,P5 RAG random (k=2) vs P1,Nemotron Nano 9B v2,0.357,0.0,✅,significant,,
within-model,P5 RAG random (k=2) vs P1,GPT-OSS 120B,0.195,0.0,✅,significant,,
within-model,P5 RAG dense (k=3) vs P1,Qwen3 Coder 30B A3B,0.105,0.0,✅,significant,,
within-model,P3 tax-tree vs P1,Gemma 3 4B-IT,-0.175,0.0,✅,significant,,
within-model,P5 RAG random (k=2) vs P1,Mistral Devstral 2 123B,0.245,0.0,✅,significant,,
within-model,P5 RAG dense (k=3) vs P1,Mistral Devstral 2 123B,0.241,0.0,✅,significant,,
within-model,P4 self-verify vs P1,Mistral Devstral 2 123B,-0.146,0.0,✅,significant,,
within-model,P5 RAG dense (k=3) vs P1,GPT-OSS 120B,0.199,0.0,✅,significant,,
within-model,P2 few-shot vs P1,Mistral Devstral 2 123B,0.235,0.0,✅,significant,,
within-model,P5 RAG dense (k=3) vs P1,Mistral Voxtral Mini 3B,-0.16,0.0,✅,significant,,
within-model,P5 RAG random (k=2) vs P1,Mistral Voxtral Mini 3B,-0.16,0.0,✅,significant,,
within-model,P2 few-shot vs P1,Gemma 3 27B-IT,0.161,0.0,✅,significant,,
within-model,P2 few-shot vs P1,Nemotron Nano 3-30B,0.152,0.0,✅,significant,,
within-model,P4 self-verify vs P1,Nemotron Nano 3-30B,-0.562,0.0,✅,significant,,
within-model,P4 self-verify vs P1,DeepSeek v3.2,-0.265,0.0,✅,significant,,
within-model,P2 few-shot vs P1,Nemotron Nano 9B v2,0.361,0.0,✅,significant,,
within-model,P4 self-verify vs P1,Mistral Voxtral Mini 3B,-0.371,0.0,✅,significant,,
within-model,P5 RAG dense (k=3) vs P1,Nemotron Nano 9B v2,0.332,0.0,✅,significant,,
within-model,P3 tax-tree vs P1,Mistral Voxtral Mini 3B,-0.108,0.001,✅,significant,,
within-model,P3 tax-tree vs P1,Mistral Devstral 2 123B,-0.102,0.004,✅,ns,,
within-model,P5 RAG dense (k=3) vs P1,Gemma 3 4B-IT,-0.187,0.004,✅,ns,,
within-model,P2 few-shot vs P1,Gemma 3 4B-IT,-0.213,0.005,✅,ns,,
within-model,P2 few-shot vs P1,DeepSeek v3.2,0.105,0.005,✅,ns,,
within-model,P3 tax-tree vs P1,Qwen3 Coder 30B A3B,-0.099,0.007,✅,ns,,
within-model,P4 self-verify vs P1,Gemma 3 4B-IT,-0.122,0.007,✅,ns,,
within-model,P5 RAG random (k=2) vs P1,Nemotron Nano 3-30B,0.099,0.012,✅,ns,,
within-model,P5 RAG dense (k=3) vs P1,Nemotron Nano 3-30B,0.095,0.013,✅,ns,,
within-model,P4 self-verify vs P1,Qwen3 Coder 30B A3B,-0.084,0.014,✅,ns,,
within-model,P2 few-shot vs P1,Mistral Voxtral Mini 3B,-0.133,0.017,✅,ns,,
within-model,P5 RAG dense (k=3) vs P1,DeepSeek v3.2,0.055,0.028,✅,ns,,
within-model,P5 RAG random (k=2) vs P1,Gemma 3 4B-IT,-0.11,0.05,ns,ns,,
within-model,P3 tax-tree vs P1,GPT-OSS 120B,-0.097,0.061,ns,ns,,
within-model,P4 self-verify vs P1,Nemotron Nano 9B v2,0.177,0.086,ns,ns,,
within-model,P4 self-verify vs P1,Gemma 3 27B-IT,-0.089,0.1,ns,ns,,
within-model,P5 RAG dense (k=3) vs P1,Gemma 3 27B-IT,0.077,0.134,ns,ns,,
within-model,P5 RAG random (k=2) vs P1,Gemma 3 27B-IT,0.069,0.137,ns,ns,,
within-model,P5 RAG random (k=2) vs P1,DeepSeek v3.2,0.057,0.138,ns,ns,,
within-model,P2 few-shot vs P1,GPT-OSS 120B,0.097,0.152,ns,ns,,
within-model,P5 RAG random (k=2) vs P1,Qwen3 Coder 30B A3B,0.059,0.152,ns,ns,,
within-model,P4 self-verify vs P1,GPT-OSS 120B,-0.037,0.299,ns,ns,,
within-model,P3 tax-tree vs P1,DeepSeek v3.2,-0.031,0.341,ns,ns,,
within-model,P2 few-shot vs P1,Qwen3 Coder 30B A3B,0.042,0.468,ns,ns,,
within-model,P3 tax-tree vs P1,Nemotron Nano 3-30B,-0.015,0.626,ns,ns,,
within-model,P3 tax-tree vs P1,Gemma 3 27B-IT,-0.008,0.77,ns,ns,,
within-model,P3 tax-tree vs P1,Nemotron Nano 9B v2,0.001,0.97,ns,ns,,
cross-model,DeepSeek v3.2 (P2 few-shot) vs Mistral Devstral 2 123B,DeepSeek v3.2,-0.098,0.0,✅,significant,-0.157,-0.046
cross-model,Gemma 3 27B-IT (P2 few-shot) vs Mistral Devstral 2 123B,Gemma 3 27B-IT,-0.087,0.002,✅,significant,-0.142,-0.032
cross-model,Qwen3 Coder 30B A3B (P5 RAG dense (k=3)) vs Mistral Devstral 2 123B,Qwen3 Coder 30B A3B,-0.001,0.867,ns,ns,-0.022,0.02
cross-model,GPT-OSS 120B (P5 RAG dense (k=3)) vs Mistral Devstral 2 123B,GPT-OSS 120B,-0.057,0.002,✅,significant,-0.094,-0.025
cross-model,Gemma 3 4B-IT (P1 zero-shot) vs Mistral Devstral 2 123B,Gemma 3 4B-IT,-0.351,0.0,✅,significant,-0.424,-0.277
cross-model,Mistral Voxtral Mini 3B (P1 zero-shot) vs Mistral Devstral 2 123B,Mistral Voxtral Mini 3B,-0.131,0.0,✅,significant,-0.183,-0.088
cross-model,Nemotron Nano 3-30B (P2 few-shot) vs Mistral Devstral 2 123B,Nemotron Nano 3-30B,-0.15,0.0,✅,significant,-0.219,-0.088
cross-model,Nemotron Nano 9B v2 (P2 few-shot) vs Mistral Devstral 2 123B,Nemotron Nano 9B v2,-0.236,0.0,✅,significant,-0.359,-0.141
rag,dense vs random,DeepSeek v3.2,-0.003,0.947,ns,ns,-0.062,0.061
rag,dense vs random,Gemma 3 27B-IT,0.008,0.699,ns,ns,-0.025,0.048
rag,dense vs random,Mistral Devstral 2 123B,-0.003,0.712,ns,ns,-0.019,0.014
rag,dense vs random,Qwen3 Coder 30B A3B,0.046,0.08,ns,ns,-0.003,0.123
rag,dense vs random,GPT-OSS 120B,0.005,0.9,ns,ns,-0.039,0.053
rag,dense vs random,Gemma 3 4B-IT,-0.077,0.137,ns,ns,-0.187,0.029
rag,dense vs random,Mistral Voxtral Mini 3B,0.0,0.99,ns,ns,-0.103,0.089
rag,dense vs random,Nemotron Nano 3-30B,-0.004,0.936,ns,ns,-0.055,0.057
rag,dense vs random,Nemotron Nano 9B v2,-0.026,0.64,ns,ns,-0.137,0.091
